date       time    	Air_Temp	Barometric_Press	Dew_Point	Relative_Humidity	Wind_Dir	Wind_Gust	Wind_Speed
2012_01_01 19:22:56	36.10	30.60	28.40	73.20	80.00	17.00	12.00
2012_01_01 19:29:12	35.90	30.60	27.90	72.40	10.60	17.00	11.60
2012_01_01 19:35:29	35.90	30.60	27.90	72.20	28.40	14.00	10.20
2012_01_01 19:41:46	35.80	30.60	28.00	73.00	16.20	14.00	 9.60
2012_01_01 19:49:02	35.70	30.60	27.80	72.60	213.60	18.00	10.60
2012_01_01 19:55:19	35.90	30.60	27.80	72.20	213.60	18.00	12.60
2012_01_01 20:01:35	35.80	30.60	27.70	72.20	284.00	18.00	10.60
2012_01_01 20:07:52	35.70	30.60	27.80	72.80	149.80	13.00	10.40
2012_01_01 20:14:09	35.70	30.60	27.50	71.80	217.80	16.00	12.60
2012_01_01 20:20:26	35.70	30.60	27.80	72.60	10.80	16.00	11.20
2012_01_01 20:26:42	35.80	30.60	27.70	72.20	83.40	19.00	11.60
2012_01_01 20:32:59	35.90	30.60	28.10	73.20	 8.40	19.00	12.80
2012_01_01 20:39:16	35.80	30.60	27.80	72.40	146.00	18.00	12.60
2012_01_01 20:45:32	35.80	30.60	27.80	72.60	79.60	18.00	 9.00
2012_01_01 20:51:49	35.70	30.60	27.80	72.60	285.80	18.00	11.20
2012_01_01 20:58:06	35.90	30.60	27.70	72.00	144.40	18.00	 9.60
2012_01_01 21:04:22	35.60	30.60	27.40	71.80	287.00	18.00	10.00
2012_01_01 21:10:39	35.40	30.60	27.40	72.40	283.20	14.00	 9.20
2012_01_01 21:16:55	35.40	30.50	27.70	73.20	151.80	14.00	10.60
2012_01_01 21:23:12	35.30	30.50	27.40	72.60	19.20	14.00	 9.80
2012_01_01 21:29:28	35.20	30.50	27.40	73.00	 6.60	14.00	 8.60
2012_01_01 21:35:54	35.30	30.50	27.80	73.80	12.80	11.00	 8.40
2012_01_01 21:42:16	35.20	30.50	27.60	73.40	80.00	12.00	 8.80
2012_01_01 21:48:33	35.20	30.50	27.40	72.80	287.00	12.00	 7.40
2012_01_01 21:54:49	35.30	30.50	27.60	73.20	217.00	12.00	 8.20
2012_01_01 22:02:06	35.40	30.50	27.90	74.00	145.80	12.00	10.20
2012_01_01 22:08:23	35.40	30.50	27.80	73.40	145.00	12.00	 8.00
2012_01_01 22:14:39	35.40	30.50	28.00	74.00	81.00	14.00	 8.00
2012_01_01 22:20:55	35.50	30.50	28.00	74.00	215.20	14.00	 9.40
2012_01_01 22:27:12	35.60	30.50	28.20	74.00	147.60	15.00	10.40
2012_01_01 22:33:29	35.50	30.50	27.60	72.60	215.00	15.00	10.40
2012_01_01 22:39:45	35.50	30.50	28.20	74.40	280.40	12.00	 8.80
2012_01_01 22:46:01	35.50	30.50	27.90	73.80	350.80	12.00	 8.00
2012_01_01 22:52:19	35.40	30.50	27.80	73.60	342.60	12.00	 8.60
2012_01_01 22:58:35	35.40	30.50	27.90	74.00	348.00	13.00	 9.80
2012_01_01 23:04:51	35.40	30.50	28.00	74.00	328.20	13.00	10.80
2012_01_01 23:11:09	35.10	30.50	27.40	73.00	344.60	15.00	 9.80
2012_01_01 23:17:24	35.00	30.50	27.70	74.40	282.00	15.00	10.80
2012_01_01 23:23:41	34.90	30.50	27.90	75.20	350.40	15.00	10.40
2012_01_01 23:29:57	34.90	30.50	27.90	75.20	287.80	15.00	 8.20
2012_01_01 23:36:15	34.90	30.50	27.90	75.20	149.40	10.00	 7.40
2012_01_01 23:42:31	34.90	30.50	27.60	74.20	215.00	11.00	 9.00
2012_01_01 23:48:47	34.90	30.50	27.70	74.60	215.00	12.00	 9.00
2012_01_01 23:55:03	34.90	30.50	27.90	75.20	286.20	13.00	 7.40
2012_01_02 00:01:21	34.90	30.50	27.80	75.20	356.00	13.00	 7.80
2012_01_02 00:07:36	34.80	30.50	27.30	74.00	215.80	10.00	 8.00
2012_01_02 00:13:52	34.70	30.50	27.80	75.60	353.80	10.00	 6.40
2012_01_02 00:20:08	34.80	30.50	27.40	74.00	332.80	11.00	 8.00
2012_01_02 00:26:24	34.80	30.50	27.50	74.40	282.00	13.00	 7.80
2012_01_02 00:32:40	34.70	30.50	27.20	73.80	349.20	13.00	 9.00
2012_01_02 00:38:56	34.90	30.50	27.80	75.20	327.80	13.00	 9.40
2012_01_02 00:45:12	34.80	30.50	27.80	75.20	338.60	14.00	10.60
2012_01_02 00:51:28	34.70	30.50	28.50	78.00	208.00	15.00	12.20
2012_01_02 00:57:44	34.50	30.50	28.30	77.80	147.00	15.00	 7.80
2012_01_02 01:04:11	34.50	30.50	27.70	76.00	351.40	15.00	 9.80
2012_01_02 01:10:28	34.60	30.50	27.50	75.00	336.00	13.00	 8.00
2012_01_02 01:16:43	34.60	30.50	27.70	75.60	339.80	13.00	 8.00
2012_01_02 01:22:59	34.50	30.50	27.10	74.20	342.00	13.00	 7.40
2012_01_02 01:29:15	34.50	30.50	27.40	75.00	327.40	13.00	 8.40
2012_01_02 01:35:31	34.50	30.50	27.50	75.60	338.80	14.00	11.20
2012_01_02 01:41:47	34.40	30.50	27.50	75.60	350.60	14.00	 9.20
2012_01_02 01:48:02	34.30	30.50	27.40	75.60	78.00	14.00	 6.60
2012_01_02 01:54:18	34.40	30.50	27.20	74.80	219.80	14.00	 5.20
2012_01_02 02:00:34	34.40	30.50	27.20	74.60	275.40	14.00	 5.60
2012_01_02 02:06:50	34.30	30.50	26.90	74.00	 9.20	 8.00	 5.60
2012_01_02 02:13:06	34.30	30.50	27.10	74.80	 9.00	 8.00	 4.80
2012_01_02 02:19:22	34.40	30.50	27.40	75.40	268.80	11.00	 8.00
2012_01_02 02:25:37	34.30	30.50	27.20	74.80	336.00	11.00	 8.20
2012_01_02 02:31:53	34.40	30.50	27.70	76.40	325.40	12.00	 9.00
2012_01_02 02:38:08	34.30	30.50	27.90	77.20	347.60	11.00	 8.20
2012_01_02 02:44:24	34.00	30.50	28.00	78.40	329.40	11.00	 7.20
2012_01_02 02:50:39	34.00	30.40	28.20	79.20	351.00	11.00	 8.40
2012_01_02 02:56:54	33.70	30.40	28.10	79.80	350.80	11.00	 6.40
2012_01_02 03:03:10	33.70	30.40	27.60	78.20	353.60	11.00	 6.00
2012_01_02 03:09:26	33.90	30.40	27.50	77.00	340.20	10.00	 7.60
2012_01_02 03:15:41	34.10	30.40	27.70	77.20	341.00	11.00	 8.40
2012_01_02 03:21:56	34.00	30.40	27.30	76.20	348.80	11.00	 9.20
2012_01_02 03:28:12	33.90	30.40	27.60	77.40	354.20	11.00	 6.60
2012_01_02 03:34:27	33.90	30.40	27.20	76.40	360.00	11.00	 6.40
2012_01_02 03:40:43	33.90	30.40	27.40	76.80	353.80	 9.00	 5.00
2012_01_02 03:46:58	33.90	30.40	27.30	76.40	330.40	 9.00	 5.80
2012_01_02 03:53:14	33.80	30.40	27.20	76.40	341.00	 9.00	 6.20
2012_01_02 03:59:29	33.80	30.40	27.20	76.60	337.80	 9.00	 6.20
2012_01_02 04:10:48	33.80	30.40	28.00	79.00	342.20	 9.00	 6.20
2012_01_02 04:17:19	33.70	30.40	27.70	78.20	342.20	 9.00	 6.60
2012_01_02 04:25:19	33.60	30.40	27.60	78.40	356.00	 9.00	 5.40
2012_01_02 04:31:37	33.50	30.40	27.40	77.80	355.00	 9.00	 6.00
2012_01_02 04:37:51	33.50	30.40	27.50	78.40	355.00	 8.00	 5.40
2012_01_02 04:44:05	33.50	30.40	27.50	78.60	335.60	 9.00	 7.00
2012_01_02 04:50:35	33.40	30.40	27.40	78.40	344.60	10.00	 7.80
2012_01_02 04:57:50	33.30	30.40	27.30	78.40	337.60	10.00	 7.80
2012_01_02 05:04:08	33.30	30.40	27.10	77.60	339.60	11.00	 7.40
2012_01_02 05:10:24	33.30	30.40	27.10	77.60	334.80	11.00	 8.40
2012_01_02 05:16:38	33.20	30.40	27.10	78.00	321.60	11.00	 7.60
2012_01_02 05:22:54	33.30	30.40	27.50	79.00	320.60	11.00	 8.00
2012_01_02 05:29:09	33.30	30.40	27.40	78.80	338.20	11.00	 8.60
2012_01_02 05:35:24	33.20	30.40	27.20	78.60	327.40	11.00	 8.60
2012_01_02 05:41:40	33.10	30.40	27.60	80.00	345.80	11.00	 7.40
2012_01_02 05:47:55	33.10	30.40	27.60	80.20	339.80	11.00	 6.80
2012_01_02 05:54:11	33.10	30.40	27.70	80.40	349.80	11.00	 7.20
2012_01_02 06:00:27	33.10	30.40	27.70	80.20	 6.60	11.00	 8.00
2012_01_02 06:06:43	33.20	30.40	27.70	80.00	142.80	10.00	 7.80
2012_01_02 06:12:58	33.20	30.40	27.70	80.00	349.00	11.00	 9.60
2012_01_02 06:19:14	33.10	30.40	27.70	80.20	352.40	13.00	 9.80
2012_01_02 06:25:29	32.90	30.40	27.50	80.20	145.00	13.00	 9.20
2012_01_02 06:31:44	32.80	30.40	27.30	80.00	 8.60	13.00	 7.80
2012_01_02 06:38:00	32.90	30.40	27.40	80.00	12.00	10.00	 7.80
2012_01_02 06:44:16	32.80	30.40	27.30	80.00	148.60	10.00	 7.60
2012_01_02 06:50:31	32.70	30.40	27.10	79.60	343.40	10.00	 7.20
2012_01_02 06:56:46	32.80	30.40	27.40	80.20	282.20	10.00	 7.20
2012_01_02 07:03:02	32.60	30.40	27.10	80.00	346.20	11.00	 9.40
2012_01_02 07:09:18	32.60	30.40	27.20	80.20	349.00	13.00	10.00
2012_01_02 07:15:33	32.50	30.40	26.80	79.20	280.60	13.00	 9.40
2012_01_02 07:21:48	32.70	30.40	27.60	81.60	355.00	13.00	 8.60
2012_01_02 07:28:04	32.50	30.40	27.20	80.60	348.60	13.00	 9.80
2012_01_02 07:34:20	32.50	30.40	27.40	81.20	351.60	13.00	 8.80
2012_01_02 07:40:36	32.50	30.40	27.20	80.60	327.40	11.00	 7.60
2012_01_02 07:46:51	32.80	30.40	27.80	81.60	341.00	14.00	10.60
2012_01_02 07:53:07	32.90	30.40	27.70	81.00	147.20	14.00	 5.60
2012_01_02 07:59:24	32.80	30.40	27.70	81.40	213.00	14.00	 8.60
2012_01_02 08:05:39	32.60	30.40	27.20	80.60	140.60	10.00	 8.20
2012_01_02 08:11:55	32.40	30.40	27.20	81.00	281.00	10.00	 7.00
2012_01_02 08:18:11	32.50	30.40	27.40	81.20	 5.00	10.00	 6.00
2012_01_02 08:24:39	32.70	30.40	27.50	81.00	208.80	11.00	 7.80
2012_01_02 08:31:13	32.70	30.40	27.50	81.00	335.40	11.00	 8.80
2012_01_02 08:37:29	32.70	30.40	27.50	81.00	353.80	12.00	 9.80
2012_01_02 08:43:44	32.60	30.40	27.40	81.00	353.40	12.00	 7.80
2012_01_02 08:49:59	32.60	30.40	27.50	81.40	285.40	12.00	 7.00
2012_01_02 08:56:15	32.70	30.30	27.40	80.60	219.20	12.00	 8.80
2012_01_02 09:02:31	32.50	30.30	27.20	80.40	152.20	12.00	 7.60
2012_01_02 09:08:47	32.50	30.30	27.30	81.20	212.40	10.00	 5.80
2012_01_02 09:15:02	32.70	30.30	27.60	81.40	338.40	10.00	 5.60
2012_01_02 09:21:19	32.90	30.30	27.50	80.40	339.80	10.00	 8.00
2012_01_02 09:27:35	33.00	30.30	27.30	79.40	320.00	10.00	 7.60
2012_01_02 09:33:50	32.90	30.30	27.30	79.80	344.80	10.00	 7.20
2012_01_02 09:40:05	32.70	30.30	27.40	80.60	341.60	10.00	 8.20
2012_01_02 09:46:21	32.60	30.30	27.20	80.60	335.40	11.00	 7.60
2012_01_02 09:52:37	32.60	30.30	27.20	80.40	343.00	11.00	 6.80
2012_01_02 09:58:53	32.60	30.30	27.30	80.60	344.00	11.00	 8.40
2012_01_02 10:05:08	32.70	30.30	27.50	80.80	334.80	11.00	 7.80
2012_01_02 10:11:24	32.80	30.30	27.50	80.60	343.20	11.00	 7.40
2012_01_02 10:17:40	32.80	30.30	27.40	80.20	355.00	11.00	 6.20
2012_01_02 10:23:55	32.80	30.30	27.30	80.00	328.00	11.00	 5.60
2012_01_02 10:30:11	32.70	30.30	27.30	80.60	340.00	11.00	 6.00
2012_01_02 10:36:28	32.70	30.30	27.40	80.60	341.20	 8.00	 6.20
2012_01_02 10:42:44	32.80	30.30	27.20	79.80	344.00	 9.00	 6.00
2012_01_02 10:48:59	32.90	30.30	27.20	79.60	344.00	 9.00	 4.60
2012_01_02 10:55:15	33.00	30.30	27.60	80.40	317.40	 9.00	 7.40
2012_01_02 11:01:31	33.10	30.30	27.70	80.40	341.40	 9.00	 6.00
